,TEAM_ABBREVIATION,TOTAL_DRAFT_SCORE,PLAYERS_DRAFTED,AVG_PLAYER_SCORE,TOTAL_AWARD_POINTS,BEST_PLAYER,NORMALIZED_SCORE
1,DEN,663.9740491525423,16,41.498378072033894,346.0,Nikola Jokić,165.99351228813558
2,IND,474.05199389830506,17,27.88541140578265,224.0,Kawhi Leonard,114.97449663984533
3,MIL,493.37118983050846,20,24.66855949152542,265.0,Giannis Antetokounmpo,110.32115186009698
4,PHI,550.2706494915254,32,17.19595779661017,155.0,Joel Embiid,97.27502693584586
5,CHA,409.4956186440678,20,20.47478093220339,134.0,Shai Gilgeous-Alexander,91.56600397764659
6,GSW,368.4791213559322,17,21.675242432701893,192.0,Draymond Green,89.3693140108998
7,BOS,418.19102711864406,22,19.008683050847456,155.0,Jayson Tatum,89.15862655518342
8,CLE,366.8817193220339,18,20.382317740112995,128.0,Kyrie Irving,86.4748505419966
9,SAC,418.08130033898306,24,17.42005418079096,92.0,DeMarcus Cousins,85.34048806914936
10,MIN,387.2567762711864,24,16.135699011299433,92.0,Karl-Anthony Towns,79.04845844162928
11,ATL,369.4356833898305,22,16.792531063174113,94.0,Luka Dončić,78.76395234603635
12,OKC,354.7656745762712,21,16.893603551251008,84.0,Domantas Sabonis,77.41621703418254
13,POR,298.6390901694915,16,18.66494313559322,108.0,Damian Lillard,74.65977254237288
14,CHI,315.37612,18,17.520895555555555,78.0,Jimmy Butler III,74.33486435876746
15,DET,329.30438033898304,20,16.465219016949153,68.0,Khris Middleton,73.63469797264112
16,NOP,293.44060169491524,16,18.340037605932203,120.0,Anthony Davis,73.36015042372881
17,LAL,285.7155105084746,16,17.857219406779663,56.0,Julius Randle,71.42887762711865
18,WAS,289.72814033898305,17,17.04283178464606,64.0,John Wall,70.26939560772965
19,TOR,250.11185457627118,13,19.23937342894394,64.0,Pascal Siakam,69.3685474058568
20,HOU,284.7486762711864,18,15.8193709039548,12.0,Dillon Brooks,67.11590664174963
21,DAL,210.71195627118644,11,19.155632388289675,48.0,Jalen Brunson,63.53204525393635
22,BKN,232.5995847457627,14,16.614256053268765,20.0,Kyle Kuzma,62.16485388746675
23,ORL,259.98140169491523,20,12.999070084745762,44.0,Victor Oladipo,58.13360870755095
24,UTA,241.66513220338982,18,13.4258406779661,12.0,Gordon Hayward,56.96101791912015
25,SAS,212.50406915254237,14,15.178862082324455,20.0,Dejounte Murray,56.794101433152186
26,MIA,165.42486983050847,9,18.38054109227872,20.0,Bam Adebayo,55.14162327683616
27,PHX,240.0725227118644,19,12.635395932203389,44.0,Devin Booker,55.076413980099474
28,MEM,170.21738135593222,12,14.184781779661018,44.0,Ja Morant,49.13752547330033
29,NYK,184.65362237288136,16,11.540851398305085,20.0,Kristaps Porziņģis,46.16340559322034
30,LAC,97.97928677966101,8,12.247410847457626,0.0,Miles Bridges,34.64090904885987
