PERSON_ID,PLAYER_NAME,GP,PTS,REB,AST,PTS_PER_G,REB_PER_G,AST_PER_G,TEAM_ABBREVIATION,SEASON,OVERALL_PICK,ROUND_NUMBER
202322,John Wall,647,12088,2704,5735,18.7,4.2,8.9,WAS,2010,1,1
202323,Evan Turner,705,6824,3278,2462,9.7,4.6,3.5,PHI,2010,2,1
202324,Derrick Favors,790,8354,5608,851,10.6,7.1,1.1,NJN,2010,3,1
202325,Wesley Johnson,609,4235,1924,645,7.0,3.2,1.1,MIN,2010,4,1
202326,DeMarcus Cousins,654,12802,6664,1979,19.6,10.2,3.0,SAC,2010,5,1
202327,Ekpe Udoh,384,1353,1100,260,3.5,2.9,0.7,GSW,2010,6,1
202328,Greg Monroe,646,8402,5293,1376,13.0,8.2,2.1,DET,2010,7,1
202329,Al-Farouq Aminu,711,5350,4280,879,7.5,6.0,1.2,LAC,2010,8,1
202330,Gordon Hayward,835,12687,3698,2940,15.2,4.4,3.5,UTA,2010,9,1
202331,Paul George,935,19128,5823,3469,20.5,6.2,3.7,IND,2010,10,1
202332,Cole Aldrich,339,1050,1131,183,3.1,3.3,0.5,NOH,2010,11,1
202333,Xavier Henry,185,1050,351,120,5.7,1.9,0.6,MEM,2010,12,1
202334,Ed Davis,722,4291,4616,539,5.9,6.4,0.7,TOR,2010,13,1
202335,Patrick Patterson,719,4782,2799,736,6.7,3.9,1.0,HOU,2010,14,1
202336,Larry Sanders,238,1520,1345,174,6.4,5.7,0.7,MIL,2010,15,1
202337,Luke Babbitt,381,1818,846,224,4.8,2.2,0.6,MIN,2010,16,1
202338,Kevin Seraphin,423,2516,1462,246,5.9,3.5,0.6,CHI,2010,17,1
202339,Eric Bledsoe,756,10348,2937,3545,13.7,3.9,4.7,OKC,2010,18,1
202340,Avery Bradley,660,7279,1863,1105,11.0,2.8,1.7,BOS,2010,19,1
202341,James Anderson,247,1422,560,291,5.8,2.3,1.2,SAS,2010,20,1
202342,Craig Brackins,17,30,19,9,1.8,1.1,0.5,OKC,2010,21,1
202343,Elliot Williams,109,537,161,94,4.9,1.5,0.9,POR,2010,22,1
202344,Trevor Booker,532,3679,2932,565,6.9,5.5,1.1,MIN,2010,23,1
202345,Damion James,39,150,131,26,3.8,3.4,0.7,ATL,2010,24,1
202346,Dominique Jones,80,246,114,144,3.1,1.4,1.8,MEM,2010,25,1
202347,Quincy Pondexter,355,1609,640,263,4.5,1.8,0.7,OKC,2010,26,1
202348,Jordan Crawford,281,3432,703,883,12.2,2.5,3.1,NJN,2010,27,1
202349,Greivis Vasquez,401,3591,1021,1935,9.0,2.5,4.8,MEM,2010,28,1
202350,Daniel Orton,51,143,126,24,2.8,2.5,0.5,ORL,2010,29,1
202351,Lazar Hayward,72,207,90,35,2.9,1.2,0.5,WAS,2010,30,1
202353,Tibor Pleiss,12,24,15,2,2.0,1.2,0.2,NJN,2010,31,2
202354,Dexter Pittman,50,116,89,9,2.3,1.8,0.2,MIA,2010,32,2
202355,Hassan Whiteside,511,6450,5523,326,12.6,10.8,0.6,SAC,2010,33,2
202356,Armon Johnson,47,157,49,56,3.3,1.0,1.2,POR,2010,34,2
202357,Nemanja Bjelica,449,3412,2051,825,7.6,4.6,1.8,WAS,2010,35,2
202360,Andy Rautins,5,8,1,3,1.6,0.2,0.6,NYK,2010,38,2
202361,Landry Fields,255,1731,1092,419,6.8,4.3,1.6,NYK,2010,39,2
202362,Lance Stephenson,554,4738,2251,1621,8.6,4.1,2.9,IND,2010,40,2
202363,Jarvis Varnado,37,107,72,16,2.9,1.9,0.4,MIA,2010,41,2
202365,Devin Ebanks,63,224,122,24,3.6,1.9,0.4,LAL,2010,43,2
202366,Jerome Jordan,65,180,132,17,2.8,2.0,0.3,MIL,2010,44,2
202371,Gani Lawal,1,0,0,0,0.0,0.0,0.0,PHX,2010,46,2
