TEAM_ABBREVIATION,TOTAL_DRAFT_SCORE,PLAYERS_DRAFTED,AVG_PLAYER_SCORE,BEST_PLAYER,NORMALIZED_SCORE
DEN,317.97404915254236,16,19.873378072033898,Nikola Jokić,79.49351228813559
PHI,395.27064949152543,32,12.35220779661017,Joel Embiid,69.87463916486715
SAC,326.08130033898306,24,13.586720847457627,Isaiah Thomas,66.56106670781166
HOU,272.7486762711864,18,15.152704237288134,Dillon Brooks,64.28747951700343
CHA,275.4956186440678,20,13.77478093220339,Shai Gilgeous-Alexander,61.602693079149404
IND,250.05199389830508,17,14.708940817547358,Kawhi Leonard,60.646516631706746
MIN,295.2567762711864,24,12.302365677966101,Karl-Anthony Towns,60.269037080291575
OKC,270.7656745762712,21,12.893603551251008,Domantas Sabonis,59.08591425435918
ATL,275.4356833898305,22,12.519803790446842,Luka Dončić,58.72308500860897
DET,261.30438033898304,20,13.065219016949152,Khris Middleton,58.429435725642556
LAL,229.71551050847458,16,14.357219406779661,Julius Randle,57.428877627118645
BKN,212.5995847457627,14,15.185684624697336,Kyle Kuzma,56.81962904921826
CLE,238.8817193220339,18,13.271206629001883,Kyrie Irving,56.30496121137057
BOS,263.19102711864406,22,11.963228505392912,Jayson Tatum,56.1125155200638
CHI,237.37612000000001,18,13.187562222222223,Jimmy Butler III,55.95008804791723
WAS,225.72814033898305,17,13.278125902293121,Jordan Clarkson,54.74711560540434
UTA,229.66513220338982,18,12.759174011299434,Josh Hart,54.13259079437396
TOR,186.11185457627118,13,14.316296505867014,Pascal Siakam,51.61814112664947
SAS,192.50406915254237,14,13.750290653753027,Dejounte Murray,51.4488765949037
MIL,228.37118983050848,20,11.418559491525425,Giannis Antetokounmpo,51.06535045635256
DAL,162.71195627118644,11,14.791996024653313,Jalen Brunson,49.0595007142037
MIA,145.42486983050847,9,16.158318870056497,Bam Adebayo,48.47495661016949
ORL,215.98140169491523,20,10.799070084745761,Victor Oladipo,48.294909606551876
POR,190.6390901694915,16,11.91494313559322,Damian Lillard,47.65977254237288
PHX,196.0725227118644,19,10.319606458519178,Devin Booker,44.98212168979475
NOP,173.44060169491524,16,10.840037605932203,Anthony Davis,43.36015042372881
GSW,176.4791213559322,17,10.38112478564307,Draymond Green,42.80247400392387
NYK,164.65362237288136,16,10.290851398305085,Kristaps Porziņģis,41.16340559322034
MEM,126.2173813559322,12,10.51811511299435,Jaren Jackson Jr.,36.43581955112856
LAC,97.97928677966101,8,12.247410847457626,Miles Bridges,34.64090904885987
